Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,4,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,4,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,11,750,31,31,10,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,15,700,29,25,8,1,5,2,16,2,2,10,10
McChicken,5 oz(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Southern StyleCrispy ChickenSandwich,5.6 oz(159 g),420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(305 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,13,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
ChickenMcNuggets® (10piece),5.7 oz(162 g),470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
ChickenMcNuggets® (20piece)**,11.4 oz(323 g),940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
ChickenMcNuggets® (6piece),3.4 oz(97 g),280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken Selects®Premium BreastStrips (5 pc),7.3 oz(206 g),640,340,38,59,6,28,0,90,31,1240,52,36,12,1,4,0,38,0,6,4,6
Spicy ChickenMcBites™Shareable Size,10 oz(284 g),910,500,55,85,10,50,0,120,40,1990,83,61,20,1,4,1,46,15,4,10,10
Spicy ChickenMcBites™ SnackSize,3 oz(85 g),270,150,17,25,3,15,0,35,12,600,25,18,6,0,0,0,14,4,0,2,2
Breakfast,,,,,,,,,,,,,,,,,,,,,,
Apple CinnamonWalnutOatmeal**,8.3 oz(242 g),270,70,8,12,2,10,0,5,2,105,4,45,15,5,20,19,6,2,130,10,8
Fruit 'n YogurtParfait,5.2 oz(149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Egg McMuffin,4.9 oz(139 g),300,110,12,19,5,24,0,260,87,820,34,30,10,2,8,3,18,10,0,30,20
SausageMcMuffin,4 oz(114 g),370,200,22,34,8,42,0,45,15,850,35,29,10,2,8,2,14,6,2,25,15
SausageMcMuffin® withEgg,5.8 oz(164 g),450,250,27,42,10,51,0,285,95,920,38,30,10,2,8,2,21,10,2,30,20
"Bacon, Egg &Cheese Biscuit(Regular SizeBiscuit)",4.9 oz(140 g),420,210,23,35,12,59,0,235,79,1160,48,37,12,2,7,3,15,10,0,15,15
Sausage Biscuit(Regular SizeBiscuit),4.1 oz(117 g),430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Sausage Biscuitwith Egg(Regular SizeBiscuit),5.7 oz(163 g),510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
"Bacon, Egg &CheeseMcGriddles",5.8 oz(165 g),420,160,18,28,8,38,0,240,80,1110,46,48,16,2,8,15,15,10,0,20,15
SausageMcGriddles,5 oz(141 g),420,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
"Sausage, Egg &CheeseMcGriddles",7.1 oz(202 g),560,290,32,49,12,61,0,265,88,1360,56,48,16,2,8,15,20,10,0,20,15
Big Breakfast®(Regular SizeBiscuit),9.5 oz(269 g),740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfastwith Hotcakes(Regular SizeBiscuit),14.8 oz(420 g),1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Cinnamon Melts,4 oz(114 g),460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Hotcakes,5.3 oz(151 g),350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Hotcakes andSausage,6.8 oz(192 g),520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
"Bacon, Egg &Cheese Bagel",6.5 oz(185 g),560,240,27,42,9,46,0.5,260,86,1300,54,56,19,3,10,7,24,20,2,20,20
Southern StyleChicken Biscuit(Regular SizeBiscuit),5 oz(143 g),410,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Sausage Burrito,3.9 oz(111 g),300,140,16,25,7,33,0,115,38,830,35,26,9,1,4,2,12,10,2,15,15
Hash Brown,2 oz(56 g),150,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
"Bacon, Egg &Cheese Biscuit(Large SizeBiscuit)",5.4 oz(154 g),480,240,27,42,12,62,0,235,79,1270,53,43,14,3,12,4,15,15,0,15,20
Big Breakfastwith Hotcakes(Large SizeBiscuit),15.3 oz(434 g),1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast®(Large SizeBiscuit),10 oz(283 g),800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Sausage Biscuit(Large SizeBiscuit),4.6 oz(131 g),480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Sausage Biscuitwith Egg (LargeSize Biscuit),6.2 oz(177 g),570,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Southern StyleChicken Biscuit(Large SizeBiscuit),5.5 oz(157 g),470,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
Fruit & MapleOatmeal,9.2 oz(253 g),290,40,4.5,7,2,10,0,10,3,160,7,57,19,5,19,32,5,2,130,10,10
Fruit & MapleOatmeal withoutBrown Sugar,9.2 oz(251 g),260,40,4.5,7,2,9,0,5,2,115,5,48,16,5,22,18,5,2,130,6,10
Salads,,,,,,,,,,,,,,,,,,,,,,
Premium BaconRanch Salad(without chicken),7.8 oz(223 g),140,70,7,11,3.5,18,0,25,9,300,12,10,3,3,13,4,9,160,30,15,8
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(305 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad (withoutchicken),7.5 oz(213 g),90,35,4,6,2.5,12,0,10,4,180,7,9,3,3,13,4,7,160,30,20,8
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Salad(without chicken),8.1 oz(231 g),140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,24,6,6,160,25,15,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,13,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Snacks & Sides,,,,,,,,,,,,,,,,,,,,,,
Small FrenchFries,2.5 oz(71 g),230,100,11,18,1.5,8,0,0,0,160,7,29,10,3,12,0,3,0,8,2,4
Apple Slices,1.2 oz(34 g),15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Fruit 'n YogurtParfait,5.2 oz(149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit& Walnuts,1 pkg(163 g),210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Angus Bacon &Cheese SnackWrap,5.1 oz(145 g),390,190,21,33,9,47,1,75,25,1080,45,28,9,1,5,4,21,6,2,10,20
Angus DeluxeSnack Wrap,6 oz(170 g),410,220,25,38,10,49,1.5,75,25,990,41,27,9,2,6,3,20,8,4,10,20
Angus Mushroom& Swiss SnackWrap,5.7 oz(162 g),430,230,26,39,10,50,1.5,75,26,730,30,27,9,2,8,2,22,4,0,15,20
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.2 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,4,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,4,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,11,750,31,31,10,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,15,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(126 g),330,170,19,29,7,34,1,45,15,690,29,26,9,1,5,3,15,2,0,8,15
Spicy ChickenMcBites™Regular Size,4.5 oz(127 g),410,220,25,38,4.5,23,0,55,18,890,37,27,9,0,0,0,21,6,2,4,4
Large FrenchFries,5.4 oz(154 g),500,220,25,38,3.5,17,0,0,0,350,15,63,21,6,26,0,6,0,20,2,8
Medium FrenchFries,4.1 oz(117 g),380,170,19,29,2.5,13,0,0,0,270,11,48,16,5,20,0,4,0,15,2,6
Kids Fries,1.1 oz(31 g),100,45,5,8,0.5,4,0,0,0,70,3,13,4,1,5,0,1,0,4,0,2
Beverages,,,,,,,,,,,,,,,,,,,,,,
1% Low Fat MilkJug,1carton(236ml),100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat FreeChocolate MilkJug,1carton(236ml),130,0,0,0,0,0,0,5,2,135,6,23,8,0,0,22,9,10,0,30,8
Minute Maid®100%  AppleJuice Box,6.8 fl oz(200ml),100,0,0,0,0,0,0,0,0,15,1,23,8,0,0,22,0,0,100,10,0
Dasani® Water,16.9 floz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coca-Cola®Classic (Small)§,16 fl ozcup,150,0,0,0,0,0,0,0,0,10,0,40,13,0,0,40,0,0,0,0,0
Diet Coke®(Small)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Dr Pepper®(Small)§,16 fl ozcup(357 g),150,0,0,0,0,0,0,0,0,50,2,39,13,0,0,39,0,0,0,0,0
Diet Dr Pepper®(Small)§,16 fl ozcup(357 g),0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0
Sprite® (Small)§,16 fl ozcup,150,0,0,0,0,0,0,0,0,40,2,39,13,0,0,39,0,0,0,0,0
Hi-C® OrangeLavaburst(Small)§,16 fl ozcup,160,0,0,0,0,0,0,0,0,5,0,44,15,0,0,44,0,0,150,0,0
Minute Maid®Orange Juice(Medium)§,16 fl ozcup,190,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,3,0,180,4,0
POWERade®Mountain Blast(Small)§,16 fl ozcup,100,0,0,0,0,0,0,0,0,85,4,27,9,0,0,21,0,0,0,0,0
Iced Tea (Small)§ 16 fl oz,cup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea(Medium),21 fl ozcup,180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Coffee (Small)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Coffee--Caramel (Small)§,16 fl ozcup,130,50,5,8,3.5,17,0,20,7,80,3,21,7,0,0,20,1,4,0,4,0
Iced Coffee--Hazelnut(Small)§,16 fl ozcup,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,6,0,4,0
Iced Coffee--Regular (Small)§,16 fl ozcup,140,50,5,8,3.5,17,0,20,7,40,2,22,7,0,0,22,1,4,0,4,0
Iced Coffee--Vanilla (Small)§,16 fl ozcup,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,4,0,4,0
Coca-Cola®Classic (Child)§,12 fl ozcup,110,0,0,0,0,0,0,0,0,5,0,29,10,0,0,29,0,0,0,0,0
Coca-Cola®Classic (Large)§,32 fl ozcup,310,0,0,0,0,0,0,0,0,20,1,86,29,0,0,86,0,0,0,0,0
Coca-Cola®Classic(Medium)§,21 fl ozcup,210,0,0,0,0,0,0,0,0,15,1,58,19,0,0,58,0,0,0,0,0
Coffee (Large)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee(Medium)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Large)§,32 fl ozcup,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Medium)§,21 fl ozcup,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper®(Child)§,12 fl ozcup(259 g),0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper®(Large)§,32 fl ozcup(760 g),0,0,0,0,0,0,0,0,0,110,5,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper®(Medium)§,21 fl ozcup(513 g),0,0,0,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,0,0,0
Dr Pepper®(Child)§,12 fl ozcup(259 g),110,0,0,0,0,0,0,0,0,35,2,28,9,0,0,28,0,0,0,0,0
Dr Pepper®(Large)§,32 fl ozcup(760 g),310,0,0,0,0,0,0,0,0,110,5,83,28,0,0,83,0,0,0,0,0
Dr Pepper®(Medium)§,21 fl ozcup(513 g),210,0,0,0,0,0,0,0,0,75,3,56,19,0,0,56,0,0,0,0,0
Hi-C® OrangeLavaburst(Child)§,12 fl ozcup,120,0,0,0,0,0,0,0,0,0,0,32,11,0,0,32,0,0,110,0,0
Hi-C® OrangeLavaburst(Large)§,32 fl ozcup,350,0,0,0,0,0,0,0,0,10,0,94,31,0,0,94,0,0,320,0,0
Hi-C® OrangeLavaburst(Medium)§,21 fl ozcup,240,0,0,0,0,0,0,0,0,10,0,64,21,0,0,64,0,0,210,0,0
Iced Coffee withSugar FreeVanilla Syrup(Large)§,32 fl ozcup,120,100,11,17,7,34,0,40,14,140,6,16,5,0,0,2,2,8,0,8,0
Iced Coffee withSugar FreeVanilla Syrup(Medium)§,22 fl ozcup,90,70,8,13,5,26,0,30,11,100,4,11,4,0,0,2,2,6,0,6,0
Iced Coffee withSugar FreeVanilla Syrup(Small)§,16 fl ozcup,60,50,5,8,3.5,17,0,20,7,70,3,8,3,0,0,1,1,4,0,4,0
Iced Coffee--Caramel (Large)§,32 fl ozcup,270,100,11,17,7,34,0,40,14,160,7,41,14,0,0,41,2,8,0,8,0
Iced Coffee--Caramel(Medium)§,22 fl ozcup,190,70,8,13,5,26,0,30,11,115,5,27,9,0,0,27,2,6,0,6,0
Iced Coffee--Hazelnut(Large)§,32 fl ozcup,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,10,0,8,0
Iced Coffee--Hazelnut(Medium)§,22 fl ozcup,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,29,2,8,0,6,0
Iced Coffee--Regular (Large)§,32 fl ozcup,280,100,11,17,7,34,0,40,14,85,4,45,15,0,0,45,2,8,0,8,0
Iced Coffee--Regular(Medium)§,22 fl ozcup,200,70,8,13,5,26,0,30,11,60,3,30,10,0,0,30,2,6,0,6,0
Iced Coffee--Vanilla (Large),32 fl ozcup,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,8,0,8,0
Iced Coffee--Vanilla(Medium)§,22 fl ozcup,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,28,2,6,0,6,0
Iced Tea (Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Iced Tea(Large)§,32 fl ozcup,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0
Iced Tea(Medium)§,21 fl oz,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Minute Maid®Orange Juice(Large),22 fl ozcup,280,0,0,0,0,0,0,0,0,5,0,58,19,0,0,58,4,0,260,4,0
Minute Maid®Orange Juice(Small)§,12 fl ozcup,150,0,0,0,0,0,0,0,0,0,0,30,10,0,0,30,2,0,140,2,0
POWERade®Mountain Blast(Child)§,12 fl ozcup,70,0,0,0,0,0,0,0,0,65,3,20,7,0,0,16,0,0,0,0,0
POWERade®Mountain Blast(Large)§,32 fl ozcup,220,0,0,0,0,0,0,0,0,190,8,58,19,0,0,46,0,0,0,0,0
POWERade®Mountain Blast(Medium)§,21 fl ozcup,150,0,0,0,0,0,0,0,0,130,5,39,13,0,0,31,0,0,0,0,0
Sprite® (Child)§,12 fl ozcup,110,0,0,0,0,0,0,0,0,30,1,28,9,0,0,28,0,0,0,0,0
Sprite® (Large)§,32 fl ozcup,310,0,0,0,0,0,0,0,0,80,3,83,28,0,0,83,0,0,0,0,0
Sprite®(Medium)§,21 fl ozcup,210,0,0,0,0,0,0,0,0,55,2,56,19,0,0,56,0,0,0,0,0
Sweet Tea(Child),12 fl ozcup,110,0,0,0,0,0,0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Sweet Tea(Large),32 fl ozcup,280,0,0,0,0,0,0,0,0,15,1,69,23,0,0,69,1,0,0,0,0
Sweet Tea(Small),16 fl ozcup,150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
McCafe,,,,,,,,,,,,,,,,,,,,,,
Coffee (Large)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Small)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Coffee withSugar FreeVanilla Syrup(Large)§,32 fl ozcup,120,100,11,17,7,34,0,40,14,140,6,16,5,0,0,2,2,8,0,8,0
Iced Coffee withSugar FreeVanilla Syrup(Medium)§,22 fl ozcup,90,70,8,13,5,26,0,30,11,100,4,11,4,0,0,2,2,6,0,6,0
Iced Coffee withSugar FreeVanilla Syrup(Small)§,16 fl ozcup,60,50,5,8,3.5,17,0,20,7,70,3,8,3,0,0,1,1,4,0,4,0
