Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
PremiumMcWrap Chicken& Bacon (Grilled),9 oz(255 g),460,160,18,27,7,35,0,95,31,1330,55,40,13,3,10,4,35,10,20,15,20
PremiumMcWrap Chicken& Ranch (Crispy),9.9 oz(280 g),580,260,29,44,8,38,0.5,60,21,1290,54,55,18,3,11,7,26,10,10,15,20
PremiumMcWrap Chicken& Ranch (Grilled),9.4 oz(266 g),420,140,16,24,6,29,0,80,27,1130,47,41,14,3,11,5,30,10,15,15,20
PremiumMcWrap ChickenSweet Chili(Crispy),8.4 oz(239 g),520,200,22,34,4.5,22,0,45,15,1190,50,57,19,2,9,11,23,8,4,8,20
PremiumMcWrap ChickenSweet Chili(Grilled),8 oz(226 g),360,80,9,14,2.5,13,0,65,21,1030,43,43,14,2,9,9,26,8,6,8,20
Chipotle BBQSnack Wrap(Crispy),4.4 oz(124 g),330,130,15,22,4.5,22,0,30,11,750,31,34,11,1,5,6,14,4,0,10,10
Chipotle BBQSnack Wrap(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap(Crispy),4.3 oz(123 g),330,130,15,23,4.5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Honey MustardSnack Wrap(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.4 oz(125 g),350,170,18,28,5,26,0,40,13,790,33,32,11,1,5,3,15,2,0,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(306 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,12,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
ChickenMcNuggets® (10piece),5.7 oz(162 g),470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
ChickenMcNuggets® (20piece)**,11.4 oz(323 g),940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
ChickenMcNuggets® (6piece),3.4 oz(97 g),280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken Selects®Premium BreastStrips (5 pc),7.3 oz(206 g),640,340,38,59,6,28,0,90,31,1240,52,36,12,1,4,0,38,0,6,4,6
Spicy ChickenMcBites™Shareable Size,10 oz(284 g),910,500,55,85,10,50,0,120,40,1990,83,61,20,1,4,1,46,15,4,10,10
Mighty Wings (10piece),11.1 oz(314 g),960,570,63,97,13,66,0.5,295,98,2900,121,40,13,4,15,0,60,4,6,6,15
Mighty Wings (5piece),5.5 oz(157 g),480,280,31,48,7,33,0,145,49,1450,60,20,7,2,7,0,30,2,4,2,6
Spicy ChickenMcBites™ SnackSize,3 oz(85 g),270,150,17,25,3,15,0,35,12,600,25,18,6,0,0,0,14,4,0,2,2
Breakfast,,,,,,,,,,,,,,,,,,,,,,
Fruit 'n Yogurt5.2 oz150202315052703301013234215104Parfait(149 g),,,,,,,,,,,,,,,,,,,,,,
Egg McMuffin,4.8 oz(137 g),300,110,12,19,5,25,0,260,87,780,33,32,11,4,18,3,18,10,0,30,15
Egg WhiteDelight,4.8 oz(137 g),250,60,7,11,3,15,0,25,8,800,34,32,11,5,18,3,18,4,0,25,10
SausageMcMuffin,4 oz(112 g),370,200,22,34,8,42,0,45,15,820,34,31,10,4,18,2,15,6,0,25,10
SausageMcMuffin® withEgg,5.7 oz(162 g),450,250,27,42,10,51,0,285,95,890,37,32,11,4,18,2,21,10,0,30,15
Steak & EggMcMuffin,6.6 oz(186 g),430,210,23,35,9,46,1,300,100,990,41,32,11,5,19,3,27,10,2,30,20
"Bacon, Egg &Cheese Biscuit(Regular SizeBiscuit)",5.3 oz(150 g),460,230,26,40,13,65,0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15
Sausage Biscuit(Regular SizeBiscuit),4.1 oz(117 g),430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Sausage Biscuitwith Egg(Regular SizeBiscuit),5.7 oz(163 g),510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
Steak & EggBiscuit (RegularBiscuit),7.1 oz(201 g),540,290,32,49,16,78,1,280,93,1470,61,38,13,2,8,3,25,10,2,20,25
"Bacon, Egg &CheeseMcGriddles",6.1 oz(174 g),460,190,21,32,9,44,0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15
SausageMcGriddles,5 oz(141 g),420,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
"Sausage, Egg &CheeseMcGriddles",7.1 oz(201 g),550,280,31,48,12,61,0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15
"Bacon, Egg &Cheese Bagel",7 oz(199 g),630,290,32,49,11,56,0.5,275,92,1490,62,57,19,3,11,7,30,20,15,20,20
"Steak, Egg &Cheese Bagel",8.6 oz(243 g),680,320,35,55,13,64,1.5,300,99,1520,63,57,19,3,12,7,33,20,4,25,25
Big Breakfast®(Regular SizeBiscuit),9.5 oz(269 g),740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfastwith Hotcakes(Regular SizeBiscuit),14.8 oz(420 g),1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Cinnamon Melts,4 oz(114 g),460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Hotcakes,5.3 oz(151 g),350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Hotcakes andSausage,6.8 oz(192 g),520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
Southern StyleChicken Biscuit(Regular SizeBiscuit),5 oz(143 g),410,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Sausage Burrito,3.9 oz(111 g),300,150,16,25,7,33,0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Hash Brown,2 oz(56 g),150,80,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,1,0,2,0,2
"Bacon, Egg &Cheese Biscuit(Large SizeBiscuit)",5.8 oz(164 g),520,270,30,47,14,68,0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20
Big Breakfastwith Hotcakes(Large SizeBiscuit),15.3 oz(434 g),1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast®(Large SizeBiscuit),10 oz(283 g),800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Sausage Biscuit(Large SizeBiscuit),4.6 oz(131 g),480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Sausage Biscuitwith Egg (LargeSize Biscuit),6.2 oz(177 g),570,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Southern StyleChicken Biscuit(Large SizeBiscuit),5.5 oz(157 g),470,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
"Bacon, Egg &Cheese Bagelwith Egg Whites",7.2 oz(203 g),580,230,26,40,9,45,0.5,60,20,1490,62,55,18,3,12,8,30,10,15,20,15
"Bacon, Egg &Cheese Biscuitwith Egg Whites(Large Biscuit)",5.9 oz(167 g),470,220,25,38,12,59,0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
"Bacon, Egg &Cheese Biscuitwith Egg Whites(RegularBiscuit)",5.4 oz(153 g),410,180,20,32,11,56,0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
"Bacon, Egg &CheeseMcGriddles withEgg Whites",6.3 oz(178 g),400,140,15,24,7,34,0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
Big Breakfastwith Egg Whites(Large SizeBiscuit),10.1 oz(286 g),690,370,41,63,14,72,0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
Big Breakfastwith Egg Whites(Regular SizeBiscuit),9.6 oz(272 g),640,330,37,57,14,69,0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
Big Breakfastwith Hotcakesand Egg Whites(Large Biscuit),15.4 oz(437 g),1050,450,50,77,16,81,0,55,19,2290,95,115,38,7,28,18,35,4,2,25,30
Big Breakfastwith Hotcakesand Egg Whites(Regular Biscuit),14.9 oz(423 g),990,410,46,70,16,78,0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30
Fruit & MapleOatmeal,9.6 oz(251 g),290,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Fruit & MapleOatmeal withoutBrown Sugar,9.6 oz(251 g),260,40,4,6,1.5,8,0,5,2,115,5,49,16,5,22,18,5,2,130,6,10
Sausage Biscuitwith Egg Whites(Large SizeBiscuit),6.4 oz(181 g),520,280,32,49,13,65,0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15
Sausage Biscuitwith Egg Whites(Regular SizeBiscuit),5.9 oz(167 g),460,250,27,42,12,62,0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15
SausageMcMuffin withEgg Whites,5.7 oz(162 g),400,200,22,34,8,41,0,50,16,910,38,31,10,5,18,2,22,4,0,25,10
"Sausage, Egg &CheeseMcGriddles withEgg Whites",7.2 oz(205 g),500,230,26,40,10,52,0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10
Salads,,,,,,,,,,,,,,,,,,,,,,
Premium BaconRanch Salad(without chicken),7.9 oz(223 g),140,70,7,11,3.5,18,0,25,9,300,12,10,3,3,13,4,9,160,30,15,8
Premium BaconRanch Salad withCrispy Chicken,11.3 oz(319 g),390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium BaconRanch Salad withGrilled Chicken,10.8 oz(306 g),230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium CaesarSalad (withoutchicken),7.5 oz(213 g),90,35,4,6,2.5,12,0,10,4,180,7,9,3,3,13,4,7,160,30,20,8
Premium CaesarSalad with CrispyChicken,10.9 oz(309 g),350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium CaesarSalad with GrilledChicken,10.4 oz(296 g),190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
PremiumSouthwest Salad(without chicken),8.1 oz(230 g),140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,24,6,6,160,25,15,10
PremiumSouthwest Saladwith CrispyChicken,12.3 oz(350 g),450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
PremiumSouthwest Saladwith GrilledChicken,11.8 oz(335 g),290,70,8,13,2.5,12,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Snacks & Sides,,,,,,,,,,,,,,,,,,,,,,
Small French2.5 oz23010011181.5800016072910312030824Fries(71 g),,,,,,,,,,,,,,,,,,,,,,
1.2 ozApple Slices†150000000000410030016020(34 g),,,,,,,,,,,,,,,,,,,,,,
Side Salad,3.1 oz(87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Fruit 'n YogurtParfait,5.2 oz(149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Mighty Wings (3piece),3.3 oz(94 g),290,170,19,29,4,20,0,90,29,870,36,12,4,1,4,0,18,2,2,2,4
Chipotle BBQSnack Wrap(Crispy),4.4 oz(124 g),330,130,15,22,4.5,22,0,30,11,750,31,34,11,1,5,6,14,4,0,10,10
Chipotle BBQSnack Wrap(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap(Crispy),4.3 oz(123 g),330,130,15,23,4.5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Honey MustardSnack Wrap(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.4 oz(125 g),350,170,18,28,5,26,0,40,13,790,33,32,11,1,5,3,15,2,0,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(125 g),330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
Large FrenchFries,5.4 oz(154 g),500,220,25,38,3.5,17,0,0,0,350,15,63,21,6,26,0,6,0,20,2,8
Medium FrenchFries,4.1 oz(117 g),380,170,19,29,2.5,13,0,0,0,270,11,48,16,5,20,0,4,0,15,2,6
Kids Fries,1.1 oz(31 g),100,45,5,8,0.5,4,0,0,0,70,3,13,4,1,5,0,1,0,4,0,2
Beverages,,,,,,,,,,,,,,,,,,,,,,
1% Low Fat MilkJug,1carton(236ml),100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat FreeChocolate MilkJug,1carton(236ml),130,0,0,0,0,0,0,5,2,135,6,23,8,0,0,22,9,10,0,30,8
Minute Maid®100%  AppleJuice Box,6.8 fl oz(200ml),100,0,0,0,0,0,0,0,0,15,1,23,8,0,0,22,0,0,100,10,0
Minute Maid®Orange Juice(Small)§,12 fl ozcup,150,0,0,0,0,0,0,0,0,0,0,34,11,0,0,30,2,0,130,2,0
Dasani® Water,16.9 floz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coca-Cola®Classic (Small)§,16 fl ozcup,140,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,0,0,0,0,0
Diet Coke®(Small)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Dr Pepper®(Small)§,16 fl ozcup,140,0,0,0,0,0,0,0,0,45,2,37,12,0,0,35,0,0,0,0,0
Diet Dr Pepper®(Small)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,2,0,0,0,0
Sprite® (Small)§,16 fl ozcup,140,0,0,0,0,0,0,0,0,30,1,37,12,0,0,37,0,0,0,0,0
Hi-C® OrangeLavaburst(Small)§,16 fl ozcup,160,0,0,0,0,0,0,0,0,0,0,43,14,0,0,42,0,0,210,0,0
POWERade®Mountain Blast(Small)§,16 fl ozcup,80,0,0,0,0,0,0,0,0,75,3,21,7,0,0,21,0,0,2,0,0
Iced Tea (Small)§ 16 fl oz,cup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea(Small)§,16 fl ozcup,150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
Coffee (Small)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frappe Mocha(Small)§,12 fl ozcup,450,160,18,28,12,59,1,65,21,125,5,65,22,1,3,57,7,15,0,20,4
Frappe Caramel(Small)§,12 fl ozcup,450,170,19,29,12,60,1,65,22,125,5,64,21,0,0,57,7,15,0,25,2
FrappeChocolate Chip(Small)†§,12 fl ozcup,530,200,23,35,14,72,1,65,22,135,6,76,25,1,5,67,8,15,0,25,4
BlueberryPomegranateSmoothie(Small)§,12 fl ozcup,220,5,0.5,1,0,0,0,5,1,40,2,50,17,3,12,44,2,0,2,6,2
StrawberryBananaSmoothie(Small)§,12 fl ozcup,210,5,0.5,1,0,0,0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
Mango PineappleSmoothie(Small)§,12 fl ozcup,220,10,1,2,0.5,3,0,5,1,45,2,49,16,2,9,47,3,35,30,8,2
FrozenStrawberryLemonade(Small)†§,12 fl oz,200,0,0,0,0,0,0,0,0,20,1,51,17,0,0,51,1,2,210,2,0
Cherry BerryChiller (Small)†§,12 fl ozcup,200,0,0,0,0,0,0,0,0,25,1,49,16,0,0,49,1,0,0,2,2
Vanilla McCaféShake (12 fl ozcup),12 fl oz,530,140,15,24,10,49,1,60,20,160,7,86,29,0,0,63,11,20,0,40,0
ChocolateMcCafé Shake(12 fl oz cup),12 fl oz,560,150,16,25,10,51,1,60,20,240,10,91,30,1,5,77,12,20,0,40,8
StrawberryMcCafé Shake(12 fl oz cup),12 fl oz,550,150,16,25,10,52,1,60,21,160,7,90,30,0,0,79,12,20,0,40,0
Iced Coffee--Caramel (Small)§,16 fl ozcup,130,40,4.5,7,3,15,0,15,6,35,2,22,7,0,0,21,1,4,0,4,0
Iced Coffee--French Vanilla(Small)§,16 fl ozcup,120,40,4.5,7,3,15,0,15,6,40,2,20,7,0,0,19,1,4,0,4,0
Iced Coffee--Hazelnut(Small)§,16 fl ozcup,130,40,4.5,7,3,15,0,15,6,35,1,21,7,0,0,20,1,4,0,4,0
Iced Coffee--Regular (Small)§,16 fl ozcup,140,40,4.5,7,3,15,0,15,6,35,1,23,8,0,0,22,1,4,0,4,0
Minute Maid®Orange Juice(Medium)§,16 fl ozcup,190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0
Sweet Tea(Medium)§,21 fl ozcup,180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Coca-Cola®Classic (Child)§,12 fl ozcup,100,0,0,0,0,0,0,0,0,0,0,28,9,0,0,28,0,0,0,0,0
Coca-Cola®Classic (Large)§,30 fl ozcup,280,0,0,0,0,0,0,0,0,5,0,76,25,0,0,76,0,0,0,0,0
Coca-Cola®Classic(Medium)§,21 fl ozcup,200,0,0,0,0,0,0,0,0,5,0,55,18,0,0,55,0,0,0,0,0
Coffee (Large)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee(Medium)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Large)§,30 fl ozcup,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Medium)§,21 fl ozcup,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper®(Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,1,0,0,0,0
Diet Dr Pepper®(Large)§,30 fl ozcup,0,0,0,0,0,0,0,0,0,140,6,0,0,0,0,0,4,0,0,0,0
Diet Dr Pepper®(Medium)§,21 fl ozcup(513 g),0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0
Dr Pepper®(Child)§,12 fl ozcup,100,0,0,0,0,0,0,0,0,30,1,27,9,0,0,26,0,0,0,0,0
Dr Pepper®(Large)§,30 fl ozcup,270,0,0,0,0,0,0,0,0,90,4,72,24,0,0,70,0,0,0,0,0
Dr Pepper®(Medium)§,21 fl ozcup,190,0,0,0,0,0,0,0,0,65,3,53,18,0,0,51,0,0,0,0,0
Hi-C® OrangeLavaburst(Child)§,12 fl ozcup,110,0,0,0,0,0,0,0,0,0,0,31,10,0,0,31,0,0,150,0,0
Hi-C® OrangeLavaburst(Large)§,30 fl ozcup,310,0,0,0,0,0,0,0,0,0,0,84,28,0,0,84,0,0,410,0,0
