Item,Serving Size,Calories,Calories From Fat,Total Fat (g),Total Fat % Daily Value,Saturated Fat (g),Saturated Fat % Daily Value,Trans Fat (g),Cholesterol (mg),Cholesterol % Daily Value,Sodium (mg),Sodium % Daily Value,Carbohydrates (g),Carbohydrates % Daily Value,Dietary Fiber (g),Dietary Fiber % Daily Value,Sugars (g),Protein (g),Vitamin A % Daily Value,Vitamin C % Daily Value,Calcium % Daily Value,Iron % Daily Value
Angus Bacon &Cheese SnackWrap,5 oz(144 g),390,190,21,33,10,48,1,75,25,1040,43,28,9,1,6,4,21,6,2,10,20
Angus DeluxeSnack Wrap,5.9 oz(169 g),410,220,25,38,10,49,1.5,75,25,960,40,27,9,2,7,3,20,8,4,15,20
Angus Mushroom& Swiss SnackWrap,5.7 oz(161 g),430,230,25,39,10,50,1.5,75,25,730,30,27,9,2,8,2,22,4,0,15,20
Chipotle BBQSnack Wrap®(Crispy),4.1 oz(117 g),330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQSnack Wrap®(Grilled),4.1 oz(117 g),250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey MustardSnack Wrap®(Crispy),4.1 oz(116 g),330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,2,14,2,2,10,10
Honey MustardSnack Wrap®(Grilled),4.1 oz(116 g),250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Ranch SnackWrap® (Crispy),4.2 oz(118 g),350,170,19,29,5,26,0,35,12,750,31,32,11,1,5,2,14,2,2,10,10
Ranch SnackWrap® (Grilled),4.2 oz(118 g),270,110,12,18,4,21,0,45,16,700,29,25,8,1,5,2,16,2,2,10,10
Mac SnackWrap,4.4 oz(125 g),330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
Large FrenchFries,5.4 oz(154 g),500,220,25,38,3.5,17,0,0,0,350,15,63,21,6,26,0,6,0,20,2,8
Medium FrenchFries,4.1 oz(117 g),380,170,19,29,2.5,13,0,0,0,270,11,48,16,5,20,0,4,0,15,2,6
Kids Fries,1.1 oz(31 g),100,45,5,8,0.5,4,0,0,0,70,3,13,4,1,5,0,1,0,4,0,2
Beverages,,,,,,,,,,,,,,,,,,,,,,
1% Low Fat MilkJug,1carton(236ml),100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat FreeChocolate MilkJug,1carton(236ml),130,0,0,0,0,0,0,5,2,135,6,23,8,0,0,22,9,10,0,30,8
Minute Maid®100%  AppleJuice Box,6.8 fl oz(200ml),100,0,0,0,0,0,0,0,0,15,1,23,8,0,0,22,0,0,100,10,0
Minute Maid®Orange Juice(Small)§,12 fl ozcup,150,0,0,0,0,0,0,0,0,0,0,34,11,0,0,30,2,0,130,2,0
Dasani® Water,16.9 floz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coca-Cola®Classic (Small)§,16 fl ozcup,140,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,0,0,0,0,0
Diet Coke®(Small)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Dr Pepper®(Small)§,16 fl ozcup(357 g),140,0,0,0,0,0,0,0,0,45,2,37,12,0,0,35,0,0,0,0,0
Diet Dr Pepper®(Small)§,16 fl ozcup(357 g),0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,2,0,0,0,0
Sprite® (Small)§,16 fl ozcup,140,0,0,0,0,0,0,0,0,30,1,37,12,0,0,37,0,0,0,0,0
Hi-C® OrangeLavaburst(Small)§,16 fl ozcup,160,0,0,0,0,0,0,0,0,0,0,43,14,0,0,42,0,0,210,0,0
POWERade®Mountain Blast(Small)§,16 fl ozcup,80,0,0,0,0,0,0,0,0,75,3,21,7,0,0,21,0,0,2,0,0
Iced Tea (Small)§ 16 fl oz,cup,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea(Small),16 fl ozcup,150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
Coffee (Small)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Coffee--Caramel (Small)§,16 fl ozcup,130,40,4.5,7,3,15,0,15,6,35,2,22,7,0,0,21,1,4,0,4,0
Iced Coffee--French Vanilla(Small)§,16 fl ozcup,120,40,4.5,7,3,15,0,15,6,40,2,20,7,0,0,19,1,4,0,4,0
Iced Coffee--Hazelnut(Small)§,16 fl ozcup,130,40,4.5,7,3,15,0,15,6,35,1,21,7,0,0,20,1,4,0,4,0
Iced Coffee--Regular (Small)§,16 fl ozcup,140,40,4.5,7,3,15,0,15,6,35,1,23,8,0,0,22,1,4,0,4,0
Minute Maid®Orange Juice(Medium)§,16 fl ozcup,190,0,0,0,0,0,0,0,0,0,0,44,15,0,0,39,3,0,160,4,0
Sweet Tea(Medium),21 fl ozcup,180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Coca-Cola®Classic (Child)§,12 fl ozcup,100,0,0,0,0,0,0,0,0,0,0,28,9,0,0,28,0,0,0,0,0
Coca-Cola®Classic (Large)§,30 fl ozcup,280,0,0,0,0,0,0,0,0,5,0,76,25,0,0,76,0,0,0,0,0
Coca-Cola®Classic(Medium)§,21 fl ozcup,200,0,0,0,0,0,0,0,0,5,0,55,18,0,0,55,0,0,0,0,0
Coffee (Large)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee(Medium)§,16 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Large)§,30 fl ozcup,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0
Diet Coke®(Medium)§,21 fl ozcup,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper®(Child)§,12 fl ozcup(259 g),0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,1,0,0,0,0
Diet Dr Pepper®(Large)§,30 fl ozcup,0,0,0,0,0,0,0,0,0,140,6,0,0,0,0,0,4,0,0,0,0
Diet Dr Pepper®(Medium)§,21 fl ozcup(513 g),0,0,0,0,0,0,0,0,0,100,4,0,0,0,0,0,3,0,0,0,0
Dr Pepper®(Child)§,12 fl ozcup(259 g),100,0,0,0,0,0,0,0,0,30,1,27,9,0,0,26,0,0,0,0,0
Dr Pepper®(Large)§,30 fl ozcup,270,0,0,0,0,0,0,0,0,90,4,72,24,0,0,70,0,0,0,0,0
Dr Pepper®(Medium)§,21 fl ozcup(513 g),190,0,0,0,0,0,0,0,0,65,3,53,18,0,0,51,0,0,0,0,0
Hi-C® OrangeLavaburst(Child)§,12 fl ozcup,110,0,0,0,0,0,0,0,0,0,0,31,10,0,0,31,0,0,150,0,0
Hi-C® OrangeLavaburst(Large)§,30 fl ozcup,310,0,0,0,0,0,0,0,0,0,0,84,28,0,0,84,0,0,410,0,0
Hi-C® OrangeLavaburst(Medium)§,21 fl ozcup,230,0,0,0,0,0,0,0,0,0,0,61,20,0,0,61,0,0,290,0,0
Iced Coffee withSugar FreeFrench VanillaSyrup (Large)§,32 fl ozcup,160,80,9,14,6,29,0,35,12,135,6,18,6,0,0,2,2,6,0,8,0
Iced Coffee withSugar FreeFrench VanillaSyrup (Medium)§,22 fl ozcup,120,60,7,11,4.5,22,0,25,9,90,4,12,4,0,0,2,1,4,0,4,0
Iced Coffee withSugar FreeFrench VanillaSyrup (Small)§,16 fl ozcup,80,40,4.5,7,3,15,0,15,6,65,3,9,3,0,0,1,1,4,0,4,0
Iced Coffee--Caramel (Large)§,32 fl ozcup,260,80,9,14,6,29,0,35,12,65,3,43,14,0,0,42,2,6,0,6,0
Iced Coffee--Caramel(Medium)§,22 fl ozcup,180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Iced Coffee--French Vanilla(Large),32 fl ozcup,240,80,9,14,6,29,0,35,12,80,3,41,14,0,0,39,2,6,0,8,0
Iced Coffee--French Vanilla(Medium)§,22 fl ozcup,170,60,7,11,4.5,22,0,25,9,55,2,27,9,0,0,26,1,4,0,4,0
Iced Coffee--Hazelnut(Large)§,32 fl ozcup,250,80,9,14,6,29,0,35,12,75,3,43,14,0,0,41,2,6,0,8,0
Iced Coffee--Hazelnut(Medium)§,22 fl ozcup,180,60,7,11,4.5,22,0,25,9,50,2,29,10,0,0,28,1,4,0,4,0
Iced Coffee--Regular (Large)§,32 fl ozcup,270,80,9,14,6,29,0,35,12,75,3,47,16,0,0,45,2,6,0,8,0
Iced Coffee--Regular(Medium)§,22 fl ozcup,190,60,7,11,4.5,22,0,25,9,50,2,31,10,0,0,30,1,4,0,4,0
Iced Tea (Child)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Iced Tea(Large)§,32 fl ozcup,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0
Iced Tea(Medium)§,21 fl oz,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Minute Maid®Orange Juice(Large),22 fl ozcup,280,0,0,0,0,0,0,0,0,5,0,65,22,0,0,58,4,0,240,4,0
POWERade®Mountain Blast(Child)§,12 fl ozcup,60,0,0,0,0,0,0,0,0,55,2,15,5,0,0,15,0,0,0,0,0
POWERade®Mountain Blast(Large)§,30 fl ozcup,160,0,0,0,0,0,0,0,0,150,6,42,14,0,0,42,0,0,2,0,0
POWERade®Mountain Blast(Medium)§,21 fl ozcup,120,0,0,0,0,0,0,0,0,105,4,30,10,0,0,30,0,0,2,0,0
Sprite® (Child)§,12 fl ozcup,100,0,0,0,0,0,0,0,0,25,1,27,9,0,0,27,0,0,0,0,0
Sprite® (Large)§,30 fl ozcup,280,0,0,0,0,0,0,0,0,60,3,74,25,0,0,74,0,0,0,0,0
Sprite®(Medium)§,21 fl ozcup,200,0,0,0,0,0,0,0,0,45,2,54,18,0,0,54,0,0,0,0,0
Sweet Tea(Child),12 fl ozcup,110,0,0,0,0,0,0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Sweet Tea(Large),32 fl ozcup,280,0,0,0,0,0,0,0,0,15,1,69,23,0,0,69,1,0,0,0,0
McCafe,,,,,,,,,,,,,,,,,,,,,,
Coffee (Small)§,12 fl ozcup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frappe Mocha(Small),12 fl ozcup,450,160,18,28,12,59,1,65,21,125,5,65,22,1,3,57,7,15,0,20,4
Frappe Caramel(Small),12 fl ozcup,450,170,19,29,12,60,1,65,22,125,5,64,21,0,0,57,7,15,0,25,2
FrappeChocolate Chip(Small),12 fl ozcup,530,200,23,35,14,72,1,65,22,135,6,76,25,1,5,67,8,15,0,25,4
StrawberryBananaSmoothie (Small),12 fl ozcup(347 g),210,5,0.5,1,0,0,0,5,1,50,2,47,16,3,10,44,3,0,30,8,2
Wild BerrySmoothie (Small),12 fl ozcup(348 g),200,5,0.5,1,0,0,0,5,1,45,2,45,15,3,12,43,3,0,0,8,4
